,noun_chunk,product,freq,overall_freq,Rank
0,grinder,B00004S9CY.raw.json,66,1345,1.0
8933,grinder,B000BRLXUI.raw.json,464,1345,1.0
2886,grinder,B00005OTXM.raw.json,249,1345,1.0
886,grinder,B00004SPEU.raw.json,195,1345,1.0
5325,grinder,B00018RRRK.raw.json,371,1345,1.0
2887,coffee,B00005OTXM.raw.json,211,1056,2.0
887,coffee,B00004SPEU.raw.json,168,1056,2.0
5326,coffee,B00018RRRK.raw.json,310,1056,2.0
8934,coffee,B000BRLXUI.raw.json,367,1056,2.0
2888,bean,B00005OTXM.raw.json,150,824,3.0
5327,bean,B00018RRRK.raw.json,226,824,3.0
1,bean,B00004S9CY.raw.json,60,824,3.0
888,bean,B00004SPEU.raw.json,100,824,3.0
8935,bean,B000BRLXUI.raw.json,288,824,3.0
894,grind,B00004SPEU.raw.json,46,402,4.0
2892,grind,B00005OTXM.raw.json,64,402,4.0
5328,grind,B00018RRRK.raw.json,124,402,4.0
8936,grind,B000BRLXUI.raw.json,154,402,4.0
11,grind,B00004S9CY.raw.json,14,402,4.0
889,lid,B00004SPEU.raw.json,59,349,5.0
5332,lid,B00018RRRK.raw.json,86,349,5.0
2889,lid,B00005OTXM.raw.json,69,349,5.0
8938,lid,B000BRLXUI.raw.json,108,349,5.0
4,lid,B00004S9CY.raw.json,27,349,5.0
892,time,B00004SPEU.raw.json,48,343,6.0
2891,time,B00005OTXM.raw.json,66,343,6.0
5330,time,B00018RRRK.raw.json,91,343,6.0
8940,time,B000BRLXUI.raw.json,107,343,6.0
2,time,B00004S9CY.raw.json,31,343,6.0
9,ground,B00004S9CY.raw.json,19,325,7.0
2897,ground,B00005OTXM.raw.json,51,325,7.0
5329,ground,B00018RRRK.raw.json,92,325,7.0
8937,ground,B000BRLXUI.raw.json,123,325,7.0
896,ground,B00004SPEU.raw.json,40,325,7.0
2893,product,B00005OTXM.raw.json,61,323,8.0
893,product,B00004SPEU.raw.json,47,323,8.0
10,product,B00004S9CY.raw.json,18,323,8.0
8939,product,B000BRLXUI.raw.json,107,323,8.0
5331,product,B00018RRRK.raw.json,90,323,8.0
890,blade,B00004SPEU.raw.json,55,294,9.0
2890,blade,B00005OTXM.raw.json,67,294,9.0
3,blade,B00004S9CY.raw.json,27,294,9.0
5336,blade,B00018RRRK.raw.json,70,294,9.0
8946,blade,B000BRLXUI.raw.json,75,294,9.0
5,coffee grinder,B00004S9CY.raw.json,25,278,10.0
2894,coffee grinder,B00005OTXM.raw.json,57,278,10.0
5333,coffee grinder,B00018RRRK.raw.json,72,278,10.0
8943,coffee grinder,B000BRLXUI.raw.json,86,278,10.0
898,coffee grinder,B00004SPEU.raw.json,38,278,10.0
2898,thing,B00005OTXM.raw.json,50,268,11.0
5335,thing,B00018RRRK.raw.json,70,268,11.0
895,thing,B00004SPEU.raw.json,40,268,11.0
8941,thing,B000BRLXUI.raw.json,88,268,11.0
6,thing,B00004S9CY.raw.json,20,268,11.0
899,coffee bean,B00004SPEU.raw.json,37,253,12.0
8944,coffee bean,B000BRLXUI.raw.json,79,253,12.0
5338,coffee bean,B00018RRRK.raw.json,63,253,12.0
