,noun_chunk,sentences
2,grinder,"I've tried super expensive grinders, butt grinders, auto grinders and I keep coming back to this one. NY Times goes on and on about the need for a burr grinder to get a consistent grind to avoid bitter coffee, but I think that's getting way too laboratory soecific. 99 percent of people won't know the difference. You'll get a consistent (enough) grind out of this if you know what you're doing and give it a little time for trial and error to get a specific grind dialed in. I use a Bialetti Italian press and this grinder helps me make fantastic and consistent coffee all day, every day."
9,burr grinder,"I've tried super expensive grinders, butt grinders, auto grinders and I keep coming back to this one. NY Times goes on and on about the need for a burr grinder to get a consistent grind to avoid bitter coffee, but I think that's getting way too laboratory soecific. 99 percent of people won't know the difference. You'll get a consistent (enough) grind out of this if you know what you're doing and give it a little time for trial and error to get a specific grind dialed in. I use a Bialetti Italian press and this grinder helps me make fantastic and consistent coffee all day, every day."
19,product,"This product Cuisinart DCG-20BK Coffee Bar Coffee Grinder, Black DISCONTINUED BY MANUFACTURER would probably be great if all I wanted to do with it was grind spices. As a coffee grinder, it will only work if you need to grind enough for a 4-cup coffee maker. (The descriptor stating 12-cups is quite misleading.) Also, you can't overfill it with beans--if you do, it doesn't grind at all. AND, the little engine gets pretty hot, which only adds to my frustration at having not just purchased a burr.

My Cuisinart coffee maker? Now, that's five-star awesome; this little grinder, not so much. BUT, had I read the descriptor more closely, it does give little clues that it might be a little grinder..."
20,coffee grinder,"This product Cuisinart DCG-20BK Coffee Bar Coffee Grinder, Black DISCONTINUED BY MANUFACTURER would probably be great if all I wanted to do with it was grind spices. As a coffee grinder, it will only work if you need to grind enough for a 4-cup coffee maker. (The descriptor stating 12-cups is quite misleading.) Also, you can't overfill it with beans--if you do, it doesn't grind at all. AND, the little engine gets pretty hot, which only adds to my frustration at having not just purchased a burr.

My Cuisinart coffee maker? Now, that's five-star awesome; this little grinder, not so much. BUT, had I read the descriptor more closely, it does give little clues that it might be a little grinder..."
23,bean,"This product Cuisinart DCG-20BK Coffee Bar Coffee Grinder, Black DISCONTINUED BY MANUFACTURER would probably be great if all I wanted to do with it was grind spices. As a coffee grinder, it will only work if you need to grind enough for a 4-cup coffee maker. (The descriptor stating 12-cups is quite misleading.) Also, you can't overfill it with beans--if you do, it doesn't grind at all. AND, the little engine gets pretty hot, which only adds to my frustration at having not just purchased a burr.

My Cuisinart coffee maker? Now, that's five-star awesome; this little grinder, not so much. BUT, had I read the descriptor more closely, it does give little clues that it might be a little grinder..."
33,coffee,"I was a little startled to see the manual says not to grind spices in it. I decided to do so anyway, since that's what I bought it for. I can't believe how quickly and quietly it pulverizes things like flax seeds.

Update: I bought a second one of these, so now I have one for coffee and one for spices. The first one os still going strong. The only way this could be better is if it had a slightly larger, removable cup, so that you could use it for wet and dry grinding. There are some like that on the market, but they have very mixed reviews."
34,spice,"I was a little startled to see the manual says not to grind spices in it. I decided to do so anyway, since that's what I bought it for. I can't believe how quickly and quietly it pulverizes things like flax seeds.

Update: I bought a second one of these, so now I have one for coffee and one for spices. The first one os still going strong. The only way this could be better is if it had a slightly larger, removable cup, so that you could use it for wet and dry grinding. There are some like that on the market, but they have very mixed reviews."
38,way,"I was a little startled to see the manual says not to grind spices in it. I decided to do so anyway, since that's what I bought it for. I can't believe how quickly and quietly it pulverizes things like flax seeds.

Update: I bought a second one of these, so now I have one for coffee and one for spices. The first one os still going strong. The only way this could be better is if it had a slightly larger, removable cup, so that you could use it for wet and dry grinding. There are some like that on the market, but they have very mixed reviews."
43,thing,"I was a little startled to see the manual says not to grind spices in it. I decided to do so anyway, since that's what I bought it for. I can't believe how quickly and quietly it pulverizes things like flax seeds.

Update: I bought a second one of these, so now I have one for coffee and one for spices. The first one os still going strong. The only way this could be better is if it had a slightly larger, removable cup, so that you could use it for wet and dry grinding. There are some like that on the market, but they have very mixed reviews."
44,cord,"EDIT - After a few months of use I threw it away and bought a new one.

I got used to the bowl that would not remove but the cord storage was UTTERLY MADDENING! It was nigh on impossible to stuff the cord in that little, uh, pouch they provided for it. When I say I threw it away I mean I literally opened my back door and threw it as hard as I could! (I have to go pick up the pieces now)

Original post--
I don’t use these for coffee, I use them for herbs and spices. With my old one, I ran the bowl through the dishwasher, after each use, so my cinnamon did not taste like mustard. (or vice versa) ;) Not a deal breaker by any means but I miss that ability. I DO like having cord storage though!"
48,use,"EDIT - After a few months of use I threw it away and bought a new one.

I got used to the bowl that would not remove but the cord storage was UTTERLY MADDENING! It was nigh on impossible to stuff the cord in that little, uh, pouch they provided for it. When I say I threw it away I mean I literally opened my back door and threw it as hard as I could! (I have to go pick up the pieces now)

Original post--
I don’t use these for coffee, I use them for herbs and spices. With my old one, I ran the bowl through the dishwasher, after each use, so my cinnamon did not taste like mustard. (or vice versa) ;) Not a deal breaker by any means but I miss that ability. I DO like having cord storage though!"
56,coffee,"EDIT - After a few months of use I threw it away and bought a new one.

I got used to the bowl that would not remove but the cord storage was UTTERLY MADDENING! It was nigh on impossible to stuff the cord in that little, uh, pouch they provided for it. When I say I threw it away I mean I literally opened my back door and threw it as hard as I could! (I have to go pick up the pieces now)

Original post--
I don’t use these for coffee, I use them for herbs and spices. With my old one, I ran the bowl through the dishwasher, after each use, so my cinnamon did not taste like mustard. (or vice versa) ;) Not a deal breaker by any means but I miss that ability. I DO like having cord storage though!"
57,spice,"EDIT - After a few months of use I threw it away and bought a new one.

I got used to the bowl that would not remove but the cord storage was UTTERLY MADDENING! It was nigh on impossible to stuff the cord in that little, uh, pouch they provided for it. When I say I threw it away I mean I literally opened my back door and threw it as hard as I could! (I have to go pick up the pieces now)

Original post--
I don’t use these for coffee, I use them for herbs and spices. With my old one, I ran the bowl through the dishwasher, after each use, so my cinnamon did not taste like mustard. (or vice versa) ;) Not a deal breaker by any means but I miss that ability. I DO like having cord storage though!"
65,coffee bean,"Really like this bean grinder. Stick to coffee beans. The instructions say other things will dull the blades. The bowl is rather small, but I think that actually means the beans grind faster and more thoroughly. I find the grind of a full bowl very fine in about 15 seconds. Highly recommend."
66,bean,"Really like this bean grinder. Stick to coffee beans. The instructions say other things will dull the blades. The bowl is rather small, but I think that actually means the beans grind faster and more thoroughly. I find the grind of a full bowl very fine in about 15 seconds. Highly recommend."
67,grind,"Really like this bean grinder. Stick to coffee beans. The instructions say other things will dull the blades. The bowl is rather small, but I think that actually means the beans grind faster and more thoroughly. I find the grind of a full bowl very fine in about 15 seconds. Highly recommend."
68,blade,"Really like this bean grinder. Stick to coffee beans. The instructions say other things will dull the blades. The bowl is rather small, but I think that actually means the beans grind faster and more thoroughly. I find the grind of a full bowl very fine in about 15 seconds. Highly recommend."
70,thing,"Really like this bean grinder. Stick to coffee beans. The instructions say other things will dull the blades. The bowl is rather small, but I think that actually means the beans grind faster and more thoroughly. I find the grind of a full bowl very fine in about 15 seconds. Highly recommend."
79,time,"Used my coffee grinder this morning for the first time. Worked great. I looked at a lot of different coffee grinders before settling on this particular one and bought this one because of the great reviews. Wonder why Cuisinart stopped making it? That would have been a concern with a larger appliance but since I know better than to expect that this small inexpensive appliance is ""fixable,"" it wasn't a consideration. Hope it holds up as well as people report it does. Fingers crossed."
